,Unnamed: 0,指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,Unnamed: 6,日期,年
118162,125860,寶島股價指數,"13,807.73",+,119.99,0.88,,,20200102,2020
118163,125861,發行量加權股價指數,"12,100.48",+,103.34,0.86,,,20200102,2020
118164,125862,臺灣公司治理100指數,"6,915.95",+,64.84,0.95,,,20200102,2020
118165,125863,臺灣50指數,"9,450.90",+,94.86,1.01,,,20200102,2020
118166,125864,臺灣50權重上限30%指數,"9,295.18",+,69.16,0.75,,,20200102,2020
118167,125865,臺灣中型100指數,"8,740.60",+,84.29,0.97,,,20200102,2020
118168,125866,臺灣資訊科技指數,"13,659.01",+,245.86,1.83,,,20200102,2020
118169,125867,臺灣發達指數,"8,760.15",+,29.10,0.33,,,20200102,2020
118170,125868,臺灣高股息指數,"6,833.82",+,37.46,0.55,,,20200102,2020
118171,125869,臺灣就業99指數,"6,985.41",+,33.01,0.47,,,20200102,2020
118172,125870,臺灣高薪100指數,"6,556.97",+,34.76,0.53,,,20200102,2020
118173,125871,未含金融指數,"10,271.14",+,99.75,0.98,,,20200102,2020
118174,125872,未含電子指數,"15,203.12",+,25.56,0.17,,,20200102,2020
118175,125873,未含金融電子指數,"12,578.50",+,24.98,0.20,,,20200102,2020
118176,125874,小型股300指數,"6,912.02",+,53.98,0.79,,,20200102,2020
118177,125875,水泥窯製類指數,630.00,+,6.95,1.12,,,20200102,2020
118178,125876,塑膠化工類指數,847.87,+,1.17,0.14,,,20200102,2020
118179,125877,機電類指數,"2,989.72",+,39.90,1.35,,,20200102,2020
118180,125878,水泥類指數,176.01,+,2.12,1.22,,,20200102,2020
118181,125879,食品類指數,"1,796.20",-,1.83,-0.10,,,20200102,2020
118182,125880,塑膠類指數,260.83,-,0.08,-0.03,,,20200102,2020
118183,125881,紡織纖維類指數,537.27,+,1.19,0.22,,,20200102,2020
118184,125882,電機機械類指數,181.30,+,1.09,0.60,,,20200102,2020
118185,125883,電器電纜類指數,49.56,+,0.23,0.47,,,20200102,2020
118186,125884,化學生技醫療類指數,100.00,+,0.52,0.52,,,20200102,2020
118187,125885,化學類指數,104.54,+,0.42,0.40,,,20200102,2020
118188,125886,生技醫療類指數,65.80,+,0.42,0.64,,,20200102,2020
118189,125887,玻璃陶瓷類指數,31.78,+,0.02,0.06,,,20200102,2020
118190,125888,造紙類指數,200.03,+,4.60,2.35,,,20200102,2020
118191,125889,鋼鐵類指數,102.39,+,0.33,0.32,,,20200102,2020
118192,125890,橡膠類指數,263.66,+,1.24,0.47,,,20200102,2020
118193,125891,汽車類指數,351.15,-,2.83,-0.80,,,20200102,2020
118194,125892,電子工業類指數,535.08,+,7.26,1.38,,,20200102,2020
118195,125893,半導體類指數,228.87,+,4.69,2.09,,,20200102,2020
118196,125894,電腦及週邊設備類指數,103.77,+,0.09,0.09,,,20200102,2020
118197,125895,光電類指數,43.63,+,0.43,1.00,,,20200102,2020
118198,125896,通信網路類指數,127.32,+,0.28,0.22,,,20200102,2020
118199,125897,電子零組件類指數,121.32,+,1.28,1.07,,,20200102,2020
118200,125898,電子通路類指數,119.15,+,0.09,0.08,,,20200102,2020
118201,125899,資訊服務類指數,118.34,+,0.40,0.34,,,20200102,2020
118202,125900,其他電子類指數,88.03,+,0.24,0.27,,,20200102,2020
118203,125901,建材營造類指數,307.96,+,0.87,0.28,,,20200102,2020
118204,125902,航運類指數,67.21,+,0.25,0.37,,,20200102,2020
118205,125903,觀光類指數,100.62,+,0.63,0.63,,,20200102,2020
118206,125904,金融保險類指數,"1,360.12",+,1.41,0.10,,,20200102,2020
118207,125905,貿易百貨類指數,251.46,-,0.81,-0.32,,,20200102,2020
118208,125906,油電燃氣類指數,125.86,+,0.61,0.49,,,20200102,2020
118209,125907,其他類指數,284.02,+,0.39,0.14,,,20200102,2020
118210,125908,臺指日報酬兩倍指數,"20,474.75",+,346.75,1.72,,,20200102,2020
118211,125909,臺指反向一倍指數,"6,318.20",-,54.90,-0.86,,,20200102,2020
118212,125910,電子類兩倍槓桿指數,"18,272.53",+,489.21,2.75,,,20200102,2020
118213,125911,電子類反向指數,"6,228.26",-,86.86,-1.38,,,20200102,2020
118214,125912,價格指數(跨市場),,,,,,,20200102,2020
118215,125914,臺灣生技指數,"4,492.87",+,32.00,0.72,,,20200102,2020
118216,125915,臺灣中小型公司治理指數,"5,679.07",+,60.46,1.08,,,20200102,2020
118217,125916,臺灣IPO指數,"5,586.92",+,10.38,0.19,,,20200102,2020
118218,125917,智慧中立指數,"5,157.49",-,8.71,-0.17,,,20200102,2020
118219,125918,價格指數(臺灣指數公司),,,,,,,20200102,2020
118220,125920,金融類日報酬兩倍指數,"22,509.41",+,46.62,0.21,,,20200102,2020
118221,125921,金融類日報酬反向一倍指數,"6,175.75",-,6.42,-0.10,,,20200102,2020
118222,125922,漲升股利150指數,"6,736.71",+,47.77,0.71,,,20200102,2020
118223,125923,漲升股利100指數,"6,721.10",+,47.02,0.70,,,20200102,2020
118224,125924,藍籌30指數,"6,426.21",+,40.82,0.64,,,20200102,2020
118225,125925,工業菁英30指數,"6,821.27",+,63.53,0.94,,,20200102,2020
118226,125926,電子菁英30指數,"6,765.11",+,81.23,1.22,,,20200102,2020
118227,125927,低波動股利精選30指數,"6,207.54",+,4.00,0.06,,,20200102,2020
118228,125928,低貝塔100指數,"6,024.09",+,5.91,0.10,,,20200102,2020
118229,125929,藍籌30反向一倍指數,"7,396.13",-,47.59,-0.64,,,20200102,2020
118230,125930,中小型精選50指數,"5,962.35",+,30.24,0.51,,,20200102,2020
118231,125931,中小型A級動能50指數,"7,743.74",+,95.09,1.24,,,20200102,2020
118232,125932,特選高息低波指數,"5,446.00",+,7.51,0.14,,,20200102,2020
118233,125933,臺灣永續指數,"6,008.34",+,47.44,0.80,,,20200102,2020
118234,125934,工業菁英30反向一倍指數,"8,067.12",-,76.56,-0.94,,,20200102,2020
118235,125935,特選內需高收益指數,"5,773.20",+,6.65,0.12,,,20200102,2020
118236,125936,價值投資指數,"6,440.98",+,47.60,0.74,,,20200102,2020
118237,125937,中小型300指數,"6,248.37",+,48.43,0.78,,,20200102,2020
118238,125938,臺灣勞工權益指數,"5,739.35",+,49.35,0.87,,,20200102,2020
118239,125939,智慧投資多因子30指數,"5,284.62",+,26.42,0.50,,,20200102,2020
118240,125940,臺股期貨指數,"5,206.52",+,46.03,0.89,,,20200102,2020
118241,125943,寶島股價報酬指數,"17,350.12",+,150.77,0.88,,,20200102,2020
118242,125944,發行量加權股價報酬指數,"22,566.08",+,192.72,0.86,,,20200102,2020
118243,125945,臺灣公司治理100報酬指數,"8,510.09",+,79.79,0.95,,,20200102,2020
118244,125946,臺灣50報酬指數,"17,849.79",+,179.15,1.01,,,20200102,2020
118245,125947,臺灣50權重上限30%報酬指數,"17,555.49",+,130.62,0.75,,,20200102,2020
118246,125948,臺灣中型100報酬指數,"15,225.76",+,146.84,0.97,,,20200102,2020
118247,125949,臺灣資訊科技股報酬指數,"24,478.06",+,440.60,1.83,,,20200102,2020
118248,125950,臺灣發達報酬指數,"14,883.12",+,49.44,0.33,,,20200102,2020
118249,125951,臺灣高股息報酬指數,"15,352.38",+,84.15,0.55,,,20200102,2020
118250,125952,臺灣就業99報酬指數,"9,657.66",+,45.64,0.47,,,20200102,2020
118251,125953,臺灣高薪100報酬指數,"8,224.07",+,43.60,0.53,,,20200102,2020
118252,125954,未含金融電子報酬指數,"23,698.32",+,47.06,0.20,,,20200102,2020
118253,125955,小型股300報酬指數,"8,148.69",+,63.64,0.79,,,20200102,2020
118254,125956,水泥類報酬指數,294.71,+,3.55,1.22,,,20200102,2020
118255,125957,食品類報酬指數,"2,503.47",-,2.57,-0.10,,,20200102,2020
118256,125958,塑膠類報酬指數,411.10,-,0.11,-0.03,,,20200102,2020
118257,125959,紡織纖維類報酬指數,786.70,+,1.76,0.22,,,20200102,2020
118258,125960,電機機械類報酬指數,255.56,+,1.53,0.60,,,20200102,2020
118259,125961,電器電纜類報酬指數,67.23,+,0.31,0.46,,,20200102,2020
118260,125962,化學生技醫療類報酬指數,143.79,+,0.75,0.52,,,20200102,2020
118261,125963,化學類報酬指數,158.49,+,0.64,0.41,,,20200102,2020
118262,125964,生技醫療類報酬指數,86.79,+,0.56,0.65,,,20200102,2020
118263,125965,玻璃陶瓷類報酬指數,36.36,+,0.02,0.06,,,20200102,2020
118264,125966,造紙類報酬指數,278.68,+,6.41,2.35,,,20200102,2020
118265,125967,鋼鐵類報酬指數,152.49,+,0.48,0.32,,,20200102,2020
118266,125968,橡膠類報酬指數,383.62,+,1.80,0.47,,,20200102,2020
118267,125969,汽車類報酬指數,509.70,-,4.10,-0.80,,,20200102,2020
118268,125970,電子工業類報酬指數,912.88,+,12.40,1.38,,,20200102,2020
118269,125971,半導體類報酬指數,372.36,+,7.63,2.09,,,20200102,2020
118270,125972,電腦及週邊設備類報酬指數,193.31,+,0.17,0.09,,,20200102,2020
118271,125973,光電類報酬指數,58.58,+,0.57,0.98,,,20200102,2020
118272,125974,通信網路類報酬指數,240.57,+,0.54,0.22,,,20200102,2020
118273,125975,電子零組件類報酬指數,205.04,+,2.18,1.07,,,20200102,2020
118274,125976,電子通路類報酬指數,236.63,+,0.19,0.08,,,20200102,2020
118275,125977,資訊服務類報酬指數,234.18,+,0.79,0.34,,,20200102,2020
118276,125978,其他電子類報酬指數,124.76,+,0.34,0.27,,,20200102,2020
118277,125979,建材營造類報酬指數,531.53,+,1.50,0.28,,,20200102,2020
118278,125980,航運類報酬指數,90.78,+,0.33,0.36,,,20200102,2020
118279,125981,觀光類報酬指數,129.42,+,0.81,0.63,,,20200102,2020
118280,125982,金融保險類報酬指數,"2,076.02",+,2.14,0.10,,,20200102,2020
118281,125983,貿易百貨類報酬指數,359.27,-,1.15,-0.32,,,20200102,2020
118282,125984,油電燃氣類報酬指數,183.24,+,0.89,0.49,,,20200102,2020
118283,125985,其他類報酬指數,437.38,+,0.59,0.14,,,20200102,2020
118284,125988,臺灣生技報酬指數,"4,721.71",+,33.62,0.72,,,20200102,2020
118285,125989,臺灣中小型公司治理報酬指數,"6,526.11",+,69.47,1.08,,,20200102,2020
118286,125990,臺灣IPO報酬指數,"5,940.02",+,11.04,0.19,,,20200102,2020
118287,125991,智慧中立報酬指數,"5,161.60",-,8.69,-0.17,,,20200102,2020
118288,125992,加權指數掩護性臺指買權價外5%報酬指數,"5,214.88",+,44.41,0.86,,,20200102,2020
118289,125995,漲升股利150報酬指數,"7,975.28",+,56.55,0.71,,,20200102,2020
118290,125996,漲升股利100報酬指數,"7,978.82",+,55.82,0.70,,,20200102,2020
118291,125997,藍籌30報酬指數,"7,304.23",+,46.39,0.64,,,20200102,2020
118292,125998,工業菁英30報酬指數,"7,762.06",+,72.28,0.94,,,20200102,2020
118293,125999,電子菁英30報酬指數,"7,626.25",+,91.57,1.22,,,20200102,2020
118294,126000,低波動股利精選30報酬指數,"7,095.15",+,4.56,0.06,,,20200102,2020
118295,126001,低貝塔100報酬指數,"6,868.01",+,6.74,0.10,,,20200102,2020
118296,126002,中小型精選50報酬指數,"6,907.16",+,35.04,0.51,,,20200102,2020
118297,126003,中小型A級動能50報酬指數,"8,424.68",+,103.46,1.24,,,20200102,2020
118298,126004,特選高息低波報酬指數,"6,323.97",+,8.72,0.14,,,20200102,2020
118299,126005,臺灣永續報酬指數,"6,816.21",+,53.81,0.80,,,20200102,2020
118300,126006,特選內需高收益報酬指數,"6,426.98",+,7.40,0.12,,,20200102,2020
118301,126007,價值投資報酬指數,"7,304.75",+,53.98,0.74,,,20200102,2020
118302,126008,存股雙十等權重報酬指數,"5,932.02",+,28.52,0.48,,,20200102,2020
118303,126009,特選大蘋果報酬指數,"6,605.54",+,29.24,0.44,,,20200102,2020
118304,126010,中小型300報酬指數,"6,513.58",+,50.48,0.78,,,20200102,2020
118305,126011,特股高息20報酬指數,"5,553.17",+,0.66,0.01,,,20200102,2020
118306,126012,臺灣500報酬指數,"6,487.56",+,55.55,0.86,,,20200102,2020
118307,126013,特選外資豐擁50報酬指數,"6,555.40",+,49.08,0.75,,,20200102,2020
118308,126014,臺灣勞工權益報酬指數,"6,000.47",+,51.59,0.87,,,20200102,2020
118309,126015,微波高息精選20報酬指數,"5,284.64",+,6.40,0.12,,,20200102,2020
118310,126016,特選世代行動通訊報酬指數,"5,093.01",+,55.63,1.10,,,20200102,2020
118311,126017,智慧投資多因子30報酬指數,"5,288.83",+,26.44,0.50,,,20200102,2020
118312,126018,特選大蘋果報酬正向兩倍指數,"10,269.82",+,90.52,0.89,,,20200102,2020
118313,126019,特選大蘋果報酬反向一倍指數,"9,861.43",-,44.04,-0.44,,,20200102,2020
118314,126020,寶島股價指數,"13,802.34",-,5.39,-0.04,,,20200103,2020
118315,126021,發行量加權股價指數,"12,110.43",+,9.95,0.08,,,20200103,2020
118316,126022,臺灣公司治理100指數,"6,935.30",+,19.35,0.28,,,20200103,2020
118317,126023,臺灣50指數,"9,475.62",+,24.72,0.26,,,20200103,2020
118318,126024,臺灣50權重上限30%指數,"9,321.52",+,26.34,0.28,,,20200103,2020
118319,126025,臺灣中型100指數,"8,699.04",-,41.56,-0.48,,,20200103,2020
118320,126026,臺灣資訊科技指數,"13,642.32",-,16.69,-0.12,,,20200103,2020
118321,126027,臺灣發達指數,"8,795.15",+,35.00,0.40,,,20200103,2020
118322,126028,臺灣高股息指數,"6,857.25",+,23.43,0.34,,,20200103,2020
118323,126029,臺灣就業99指數,"6,969.73",-,15.68,-0.22,,,20200103,2020
118324,126030,臺灣高薪100指數,"6,572.60",+,15.63,0.24,,,20200103,2020
118325,126031,未含金融指數,"10,274.77",+,3.63,0.04,,,20200103,2020
118326,126032,未含電子指數,"15,265.58",+,62.46,0.41,,,20200103,2020
118327,126033,未含金融電子指數,"12,631.80",+,53.30,0.42,,,20200103,2020
118328,126034,小型股300指數,"6,873.62",-,38.40,-0.56,,,20200103,2020
118329,126035,水泥窯製類指數,627.89,-,2.11,-0.33,,,20200103,2020
118330,126036,塑膠化工類指數,854.19,+,6.32,0.75,,,20200103,2020
118331,126037,機電類指數,"2,984.16",-,5.56,-0.19,,,20200103,2020
118332,126038,水泥類指數,175.35,-,0.66,-0.37,,,20200103,2020
118333,126039,食品類指數,"1,804.06",+,7.86,0.44,,,20200103,2020
118334,126040,塑膠類指數,264.00,+,3.17,1.22,,,20200103,2020
118335,126041,紡織纖維類指數,537.73,+,0.46,0.09,,,20200103,2020
118336,126042,電機機械類指數,179.26,-,2.04,-1.13,,,20200103,2020
118337,126043,電器電纜類指數,49.19,-,0.37,-0.75,,,20200103,2020
118338,126044,化學生技醫療類指數,99.62,-,0.38,-0.38,,,20200103,2020
118339,126045,化學類指數,104.46,-,0.08,-0.08,,,20200103,2020
118340,126046,生技醫療類指數,65.34,-,0.46,-0.70,,,20200103,2020
118341,126047,玻璃陶瓷類指數,31.80,+,0.02,0.06,,,20200103,2020
118342,126048,造紙類指數,199.19,-,0.84,-0.42,,,20200103,2020
118343,126049,鋼鐵類指數,102.40,+,0.01,0.01,,,20200103,2020
118344,126050,橡膠類指數,263.36,-,0.30,-0.11,,,20200103,2020
118345,126051,汽車類指數,352.34,+,1.19,0.34,,,20200103,2020
118346,126052,電子工業類指數,534.23,-,0.85,-0.16,,,20200103,2020
118347,126053,半導體類指數,228.33,-,0.54,-0.24,,,20200103,2020
118348,126054,電腦及週邊設備類指數,103.81,+,0.04,0.04,,,20200103,2020
118349,126055,光電類指數,42.68,-,0.95,-2.18,,,20200103,2020
118350,126056,通信網路類指數,127.55,+,0.23,0.18,,,20200103,2020
118351,126057,電子零組件類指數,121.87,+,0.55,0.45,,,20200103,2020
118352,126058,電子通路類指數,119.12,-,0.03,-0.03,,,20200103,2020
118353,126059,資訊服務類指數,117.61,-,0.73,-0.62,,,20200103,2020
118354,126060,其他電子類指數,88.65,+,0.62,0.70,,,20200103,2020
118355,126061,建材營造類指數,306.91,-,1.05,-0.34,,,20200103,2020
118356,126062,航運類指數,67.44,+,0.23,0.34,,,20200103,2020
118357,126063,觀光類指數,99.64,-,0.98,-0.97,,,20200103,2020
118358,126064,金融保險類指數,"1,365.33",+,5.21,0.38,,,20200103,2020
118359,126065,貿易百貨類指數,252.29,+,0.83,0.33,,,20200103,2020
118360,126066,油電燃氣類指數,129.48,+,3.62,2.88,,,20200103,2020
118361,126067,其他類指數,283.45,-,0.57,-0.20,,,20200103,2020
118362,126068,臺指日報酬兩倍指數,"20,508.42",+,33.67,0.16,,,20200103,2020
118363,126069,臺指反向一倍指數,"6,313.00",-,5.20,-0.08,,,20200103,2020
118364,126070,電子類兩倍槓桿指數,"18,214.48",-,58.05,-0.32,,,20200103,2020
118365,126071,電子類反向指數,"6,238.15",+,9.89,0.16,,,20200103,2020
118366,126072,價格指數(跨市場),,,,,,,20200103,2020
118367,126074,臺灣生技指數,"4,456.08",-,36.79,-0.82,,,20200103,2020
118368,126075,臺灣中小型公司治理指數,"5,631.54",-,47.53,-0.84,,,20200103,2020
118369,126076,臺灣IPO指數,"5,569.64",-,17.28,-0.31,,,20200103,2020
118370,126077,智慧中立指數,"5,199.20",+,41.71,0.81,,,20200103,2020
118371,126078,價格指數(臺灣指數公司),,,,,,,20200103,2020
118372,126080,金融類日報酬兩倍指數,"22,681.86",+,172.45,0.77,,,20200103,2020
118373,126081,金融類日報酬反向一倍指數,"6,152.09",-,23.66,-0.38,,,20200103,2020
118374,126082,漲升股利150指數,"6,743.90",+,7.19,0.11,,,20200103,2020
118375,126083,漲升股利100指數,"6,740.50",+,19.40,0.29,,,20200103,2020
118376,126084,藍籌30指數,"6,441.04",+,14.83,0.23,,,20200103,2020
118377,126085,工業菁英30指數,"6,816.65",-,4.62,-0.07,,,20200103,2020
118378,126086,電子菁英30指數,"6,765.78",+,0.67,0.01,,,20200103,2020
118379,126087,低波動股利精選30指數,"6,238.18",+,30.64,0.49,,,20200103,2020
118380,126088,低貝塔100指數,"6,038.75",+,14.66,0.24,,,20200103,2020
118381,126089,藍籌30反向一倍指數,"7,379.06",-,17.07,-0.23,,,20200103,2020
118382,126090,中小型精選50指數,"5,941.50",-,20.85,-0.35,,,20200103,2020
118383,126091,中小型A級動能50指數,"7,790.27",+,46.53,0.60,,,20200103,2020
118384,126092,特選高息低波指數,"5,442.19",-,3.81,-0.07,,,20200103,2020
118385,126093,臺灣永續指數,"6,022.92",+,14.58,0.24,,,20200103,2020
118386,126094,工業菁英30反向一倍指數,"8,072.58",+,5.46,0.07,,,20200103,2020
118387,126095,特選內需高收益指數,"5,784.71",+,11.51,0.20,,,20200103,2020
118388,126096,價值投資指數,"6,543.14",+,102.16,1.59,,,20200103,2020
118389,126097,中小型300指數,"6,216.84",-,31.53,-0.50,,,20200103,2020
118390,126098,臺灣勞工權益指數,"5,756.19",+,16.84,0.29,,,20200103,2020
118391,126099,智慧投資多因子30指數,"5,322.04",+,37.42,0.71,,,20200103,2020
118392,126100,臺股期貨指數,"5,199.64",-,6.88,-0.13,,,20200103,2020
118393,126103,寶島股價報酬指數,"17,343.35",-,6.77,-0.04,,,20200103,2020
118394,126104,發行量加權股價報酬指數,"22,584.65",+,18.57,0.08,,,20200103,2020
118395,126105,臺灣公司治理100報酬指數,"8,533.89",+,23.80,0.28,,,20200103,2020
118396,126106,臺灣50報酬指數,"17,896.47",+,46.68,0.26,,,20200103,2020
118397,126107,臺灣50權重上限30%報酬指數,"17,605.23",+,49.74,0.28,,,20200103,2020
118398,126108,臺灣中型100報酬指數,"15,153.36",-,72.40,-0.48,,,20200103,2020
118399,126109,臺灣資訊科技股報酬指數,"24,448.16",-,29.90,-0.12,,,20200103,2020
118400,126110,臺灣發達報酬指數,"14,942.58",+,59.46,0.40,,,20200103,2020
118401,126111,臺灣高股息報酬指數,"15,405.02",+,52.64,0.34,,,20200103,2020
118402,126112,臺灣就業99報酬指數,"9,635.98",-,21.68,-0.22,,,20200103,2020
118403,126113,臺灣高薪100報酬指數,"8,243.67",+,19.60,0.24,,,20200103,2020
118404,126114,未含金融電子報酬指數,"23,798.74",+,100.42,0.42,,,20200103,2020
118405,126115,小型股300報酬指數,"8,103.42",-,45.27,-0.56,,,20200103,2020
118406,126116,水泥類報酬指數,293.61,-,1.10,-0.37,,,20200103,2020
118407,126117,食品類報酬指數,"2,514.43",+,10.96,0.44,,,20200103,2020
118408,126118,塑膠類報酬指數,416.09,+,4.99,1.21,,,20200103,2020
118409,126119,紡織纖維類報酬指數,787.37,+,0.67,0.09,,,20200103,2020
118410,126120,電機機械類報酬指數,252.68,-,2.88,-1.13,,,20200103,2020
118411,126121,電器電纜類報酬指數,66.74,-,0.49,-0.73,,,20200103,2020
118412,126122,化學生技醫療類報酬指數,143.24,-,0.55,-0.38,,,20200103,2020
118413,126123,化學類報酬指數,158.38,-,0.11,-0.07,,,20200103,2020
118414,126124,生技醫療類報酬指數,86.18,-,0.61,-0.70,,,20200103,2020
118415,126125,玻璃陶瓷類報酬指數,36.38,+,0.02,0.06,,,20200103,2020
118416,126126,造紙類報酬指數,277.51,-,1.17,-0.42,,,20200103,2020
118417,126127,鋼鐵類報酬指數,152.50,+,0.01,0.01,,,20200103,2020
118418,126128,橡膠類報酬指數,383.18,-,0.44,-0.11,,,20200103,2020
118419,126129,汽車類報酬指數,511.41,+,1.71,0.34,,,20200103,2020
118420,126130,電子工業類報酬指數,911.43,-,1.45,-0.16,,,20200103,2020
118421,126131,半導體類報酬指數,371.48,-,0.88,-0.24,,,20200103,2020
118422,126132,電腦及週邊設備類報酬指數,193.39,+,0.08,0.04,,,20200103,2020
118423,126133,光電類報酬指數,57.31,-,1.27,-2.17,,,20200103,2020
118424,126134,通信網路類報酬指數,241.00,+,0.43,0.18,,,20200103,2020
118425,126135,電子零組件類報酬指數,205.97,+,0.93,0.45,,,20200103,2020
118426,126136,電子通路類報酬指數,236.56,-,0.07,-0.03,,,20200103,2020
118427,126137,資訊服務類報酬指數,232.72,-,1.46,-0.62,,,20200103,2020
118428,126138,其他電子類報酬指數,125.63,+,0.87,0.70,,,20200103,2020
118429,126139,建材營造類報酬指數,529.72,-,1.81,-0.34,,,20200103,2020
118430,126140,航運類報酬指數,91.09,+,0.31,0.34,,,20200103,2020
118431,126141,觀光類報酬指數,128.15,-,1.27,-0.98,,,20200103,2020
118432,126142,金融保險類報酬指數,"2,083.98",+,7.96,0.38,,,20200103,2020
118433,126143,貿易百貨類報酬指數,360.45,+,1.18,0.33,,,20200103,2020
118434,126144,油電燃氣類報酬指數,188.51,+,5.27,2.88,,,20200103,2020
118435,126145,其他類報酬指數,436.50,-,0.88,-0.20,,,20200103,2020
118436,126148,臺灣生技報酬指數,"4,683.04",-,38.67,-0.82,,,20200103,2020
118437,126149,臺灣中小型公司治理報酬指數,"6,471.49",-,54.62,-0.84,,,20200103,2020
118438,126150,臺灣IPO報酬指數,"5,921.65",-,18.37,-0.31,,,20200103,2020
118439,126151,智慧中立報酬指數,"5,203.35",+,41.75,0.81,,,20200103,2020
118440,126152,加權指數掩護性臺指買權價外5%報酬指數,"5,219.56",+,4.68,0.09,,,20200103,2020
118441,126155,漲升股利150報酬指數,"7,983.79",+,8.51,0.11,,,20200103,2020
118442,126156,漲升股利100報酬指數,"8,001.86",+,23.04,0.29,,,20200103,2020
118443,126157,藍籌30報酬指數,"7,321.09",+,16.86,0.23,,,20200103,2020
118444,126158,工業菁英30報酬指數,"7,756.80",-,5.26,-0.07,,,20200103,2020
118445,126159,電子菁英30報酬指數,"7,627.02",+,0.77,0.01,,,20200103,2020
118446,126160,低波動股利精選30報酬指數,"7,130.17",+,35.02,0.49,,,20200103,2020
118447,126161,低貝塔100報酬指數,"6,884.72",+,16.71,0.24,,,20200103,2020
118448,126162,中小型精選50報酬指數,"6,883.00",-,24.16,-0.35,,,20200103,2020
118449,126163,中小型A級動能50報酬指數,"8,475.30",+,50.62,0.60,,,20200103,2020
118450,126164,特選高息低波報酬指數,"6,319.55",-,4.42,-0.07,,,20200103,2020
118451,126165,臺灣永續報酬指數,"6,832.76",+,16.55,0.24,,,20200103,2020
118452,126166,特選內需高收益報酬指數,"6,439.79",+,12.81,0.20,,,20200103,2020
118453,126167,價值投資報酬指數,"7,420.60",+,115.85,1.59,,,20200103,2020
118454,126168,存股雙十等權重報酬指數,"5,962.98",+,30.96,0.52,,,20200103,2020
118455,126169,特選大蘋果報酬指數,"6,638.97",+,33.43,0.51,,,20200103,2020
118456,126170,中小型300報酬指數,"6,480.71",-,32.87,-0.50,,,20200103,2020
118457,126171,特股高息20報酬指數,"5,562.10",+,8.93,0.16,,,20200103,2020
118458,126172,臺灣500報酬指數,"6,494.84",+,7.28,0.11,,,20200103,2020
118459,126173,特選外資豐擁50報酬指數,"6,571.46",+,16.06,0.24,,,20200103,2020
118460,126174,臺灣勞工權益報酬指數,"6,018.08",+,17.61,0.29,,,20200103,2020
118461,126175,微波高息精選20報酬指數,"5,312.82",+,28.18,0.53,,,20200103,2020
118462,126176,特選世代行動通訊報酬指數,"5,039.41",-,53.60,-1.05,,,20200103,2020
118463,126177,智慧投資多因子30報酬指數,"5,326.29",+,37.46,0.71,,,20200103,2020
118464,126178,特選大蘋果報酬正向兩倍指數,"10,373.77",+,103.95,1.01,,,20200103,2020
118465,126179,特選大蘋果報酬反向一倍指數,"9,811.52",-,49.91,-0.51,,,20200103,2020
118466,126180,寶島股價指數,"13,625.28",-,177.06,-1.28,,,20200106,2020
118467,126181,發行量加權股價指數,"11,953.36",-,157.07,-1.30,,,20200106,2020
118468,126182,臺灣公司治理100指數,"6,840.08",-,95.22,-1.37,,,20200106,2020
118469,126183,臺灣50指數,"9,324.26",-,151.36,-1.60,,,20200106,2020
118470,126184,臺灣50權重上限30%指數,"9,183.52",-,138.00,-1.48,,,20200106,2020
118471,126185,臺灣中型100指數,"8,608.57",-,90.47,-1.04,,,20200106,2020
118472,126186,臺灣資訊科技指數,"13,362.77",-,279.55,-2.05,,,20200106,2020
118473,126187,臺灣發達指數,"8,702.20",-,92.95,-1.06,,,20200106,2020
118474,126188,臺灣高股息指數,"6,769.17",-,88.08,-1.28,,,20200106,2020
118475,126189,臺灣就業99指數,"6,869.35",-,100.38,-1.44,,,20200106,2020
118476,126190,臺灣高薪100指數,"6,497.68",-,74.92,-1.14,,,20200106,2020
118477,126191,未含金融指數,"10,134.79",-,139.98,-1.36,,,20200106,2020
118478,126192,未含電子指數,"15,175.15",-,90.43,-0.59,,,20200106,2020
118479,126193,未含金融電子指數,"12,573.98",-,57.82,-0.46,,,20200106,2020
118480,126194,小型股300指數,"6,809.32",-,64.30,-0.94,,,20200106,2020
118481,126195,水泥窯製類指數,621.51,-,6.38,-1.02,,,20200106,2020
118482,126196,塑膠化工類指數,852.49,-,1.70,-0.20,,,20200106,2020
118483,126197,機電類指數,"2,931.17",-,52.99,-1.78,,,20200106,2020
118484,126198,水泥類指數,173.49,-,1.86,-1.06,,,20200106,2020
118485,126199,食品類指數,"1,784.81",-,19.25,-1.07,,,20200106,2020
118486,126200,塑膠類指數,263.88,-,0.12,-0.05,,,20200106,2020
118487,126201,紡織纖維類指數,533.69,-,4.04,-0.75,,,20200106,2020
118488,126202,電機機械類指數,178.80,-,0.46,-0.26,,,20200106,2020
118489,126203,電器電纜類指數,48.63,-,0.56,-1.14,,,20200106,2020
118490,126204,化學生技醫療類指數,99.20,-,0.42,-0.42,,,20200106,2020
118491,126205,化學類指數,104.24,-,0.22,-0.21,,,20200106,2020
118492,126206,生技醫療類指數,64.92,-,0.42,-0.64,,,20200106,2020
118493,126207,玻璃陶瓷類指數,31.62,-,0.18,-0.57,,,20200106,2020
118494,126208,造紙類指數,199.48,+,0.29,0.15,,,20200106,2020
