"109年01月01日 至 109年12月31日 除權除息計算結果表"
"資料日期","股票代號","股票名稱","除權息前收盤價","除權息參考價","權值+息值","權/息","漲停價格","跌停價格","開盤競價基準","減除股利參考價","詳細資料","最近一次申報資料 季別/日期","最近一次申報每股 (單位)淨值","最近一次申報每股 (單位)盈餘",
"109年04月09日","6412","群電","57.60","54.40","3.200000","息","59.80","49.00","54.40","54.40","除權息資料","110年第1季","22.16","1.49",
"109年04月17日","2888","新光金","8.43","8.40","0.020259","權","9.27","7.56","8.43","8.43","除權息資料","109年第4季","18.12","1.12",
"109年04月17日","2888A","新光金甲特","44.05","44.03","0.014952","權","48.45","39.65","44.05","44.05","除權息資料","109年第4季","18.12","1.12",
"109年04月20日",="00714","群益道瓊美國地產","18.16","18.04","0.120000","息","9,999.95","0.01","18.04","18.04","除權息資料","","","",
"109年04月22日",="0052","富邦科技","65.00","63.07","1.927000","息","69.35","56.80","63.05","63.07","除權息資料","110年05月18日","119.44","N/A",
"109年04月22日",="00717","富邦美國特別股","16.39","16.20","0.189000","息","9,999.95","0.01","16.20","16.20","除權息資料","","","",
"109年04月22日","2910","統領","30.90","30.20","0.700000","息","33.20","27.20","30.20","30.20","除權息資料","110年第1季","12.95","0.21",
"109年04月23日","5215","科嘉-KY","67.80","66.30","1.499895","權","74.50","59.70","67.80","67.80","除權息資料","110年第1季","46.18","3.12",
"109年04月23日","5469","瀚宇博","39.35","39.11","0.234558","權","43.25","35.20","39.35","39.35","除權息資料","110年第1季","57.21","1.48",
"109年04月23日","6224","聚鼎","65.50","61.50","4.000000","息","67.60","55.40","61.50","61.50","除權息資料","110年第1季","28.15","1.70",
"109年04月23日","8112","至上","34.95","32.25","2.700000","息","35.45","29.05","32.25","32.25","除權息資料","110年第1季","19.84","1.62",
"109年04月24日",="00774B","新光中國政金綠債","40.81","40.21","0.600000","息","9,999.95","0.01","40.21","40.21","除權息資料","","","",
"109年04月24日",="00774C","新光中政金綠債+R","9.60","9.45","0.140100","息","9,999.95","0.01","9.45","9.45","除權息資料","","","",
"109年04月24日",="01001T","土銀富邦R1","16.60","16.23","0.367472","息","17.85","14.61","16.23","16.23","除權息資料","110年05月18日","18.93","N/A",
"109年04月24日",="01003T","兆豐新光R1","18.60","18.21","0.381530","息","20.03","16.39","18.21","18.21","除權息資料","110年05月18日","17.51","N/A",
"109年05月20日",="01002T","土銀國泰R1","17.20","16.79","0.403678","息","18.46","15.12","16.79","16.79","除權息資料","110年05月18日","19.03","N/A",
"109年05月20日",="01007T","兆豐國泰R2","17.54","17.34","0.196470","息","19.07","15.61","17.34","17.34","除權息資料","110年05月18日","20.13","N/A",
"109年05月21日",="00775B","新光投等債15+","44.80","44.46","0.340000","息","9,999.95","0.01","44.46","44.46","除權息資料","","","",
"109年05月22日",="00771","元大US高息特別股","18.62","18.41","0.210000","息","9,999.95","0.01","18.41","18.41","除權息資料","","","",
"109年05月28日","2809","京城銀","34.10","32.60","1.500000","息","35.85","29.35","32.60","32.60","除權息資料","110年第1季","42.89","2.17",
"109年05月28日","6251","定穎","19.55","19.20","0.342379","權","21.50","17.30","19.55","19.55","除權息資料","110年第1季","18.08","0.06",
"109年06月01日","3443","創意","231.00","226.00","5.000000","息","248.50","203.50","226.00","226.00","除權息資料","110年第1季","35.73","2.30",
"109年06月02日","8454","富邦媒","585.00","576.50","8.500000","息","634.00","519.00","577.00","576.50","除權息資料","110年第1季","54.83","5.57",
"109年06月03日","9136","巨騰-DR","9.70","9.31","0.383400","息","10.20","8.38","9.31","9.31","除權息資料","97年第4季","0.00","2.82",
"109年06月08日","2467","志聖","33.00","30.50","2.500000","息","33.55","27.45","30.50","30.50","除權息資料","110年第1季","18.00","1.01",
"109年06月09日","1218","泰山","25.25","24.35","0.900000","息","26.75","21.95","24.35","24.35","除權息資料","110年第1季","14.79","0.34",
"109年06月09日","910322","康師傅-DR","25.05","23.77","1.272000","息","26.10","21.40","23.75","23.77","除權息資料","97年第4季","0.00","1.53",
"109年06月09日","9940","信義","29.30","28.10","1.200000","息","30.90","25.30","28.10","28.10","除權息資料","110年第1季","16.03","0.62",
"109年06月10日","2406","國碩","9.28","9.06","0.218254","權","10.20","8.16","9.28","9.28","除權息資料","110年第1季","10.01","0.90",
"109年06月10日","2548","華固","98.50","91.00","7.500000","息","100.00","81.90","91.00","91.00","除權息資料","110年第1季","56.55","0.69",
"109年06月10日","3029","零壹","38.20","36.18","2.010132","息","39.75","32.60","36.20","36.18","除權息資料","110年第1季","19.55","0.92",
"109年06月11日","1504","東元","28.65","27.66","0.990000","息","30.40","24.90","27.65","27.66","除權息資料","110年第1季","33.13","0.53",
"109年06月11日","2890","永豐金","12.35","11.65","0.700000","息","12.80","10.50","11.65","11.65","除權息資料","109年第4季","13.83","1.09",
"109年06月11日","3030","德律","59.20","55.90","3.300000","息","61.40","50.40","55.90","55.90","除權息資料","110年第1季","25.36","1.25",
"109年06月11日","6491","晶碩","169.00","166.50","2.500000","息","183.00","150.00","166.50","166.50","除權息資料","110年第1季","63.80","3.21",
"109年06月11日","8213","志超","38.20","35.65","2.546680","息","39.20","32.10","35.65","35.65","除權息資料","110年第1季","49.00","1.41",
"109年06月12日","1587","吉茂","13.25","12.74","0.502463","息","14.00","11.50","12.75","12.74","除權息資料","110年第1季","18.58","0.37",
"109年06月12日","2006","東和鋼鐵","24.30","22.95","1.350000","息","25.20","20.70","22.95","22.95","除權息資料","110年第1季","27.28","1.38",
"109年06月12日","2832","台產","20.50","19.50","1.000000","息","21.45","17.55","19.50","19.50","除權息資料","110年第1季","26.13","-0.06",
"109年06月12日","6579","研揚","67.80","64.60","3.200000","息","71.00","58.20","64.60","64.60","除權息資料","110年第1季","53.11","0.34",
"109年06月12日","8482","商億-KY","113.00","106.96","6.037303","息","117.50","96.30","107.00","106.96","除權息資料","110年第1季","28.42","0.91",
"109年06月15日","1611","中電","13.65","12.45","1.200000","息","13.65","11.25","12.45","12.45","除權息資料","110年第1季","13.14","0.08",
"109年06月15日","1727","中華化","9.42","9.22","0.200000","息","10.10","8.30","9.22","9.22","除權息資料","110年第1季","12.09","0.35",
"109年06月15日","2458","義隆","126.50","120.00","6.500000","息","132.00","108.00","120.00","120.00","除權息資料","110年第1季","35.02","3.77",
"109年06月15日","2642","宅配通","36.70","35.50","1.200000","息","39.05","31.95","35.50","35.50","除權息資料","110年第1季","23.47","0.64",
"109年06月15日","3416","融程電","61.10","58.10","3.000000","息","63.90","52.30","58.10","58.10","除權息資料","110年第1季","31.71","1.13",
"109年06月15日","3563","牧德","322.00","312.00","10.000000","息","343.00","281.00","312.00","312.00","除權息資料","110年第1季","52.11","4.81",
"109年06月15日","6581","鋼聯","62.00","59.40","2.600000","息","65.30","53.50","59.40","59.40","除權息資料","110年第1季","29.56","0.59",
"109年06月16日","2347","聯強","46.10","43.50","2.600000","息","47.85","39.15","43.50","43.50","除權息資料","110年第1季","31.05","1.52",
"109年06月16日","3167","大量","40.95","38.95","2.000000","息","42.80","35.10","38.95","38.95","除權息資料","110年第1季","26.85","1.01",
"109年06月17日",="00710B","FH彭博高收益債","18.94","18.68","0.260000","息","9,999.95","0.01","18.68","18.68","除權息資料","","","",
"109年06月17日",="00711B","FH彭博新興債","21.71","21.46","0.250000","息","9,999.95","0.01","21.46","21.46","除權息資料","","","",
"109年06月17日",="00712","FH富時不動產","11.49","11.15","0.338000","息","9,999.95","0.01","11.15","11.15","除權息資料","","","",
"109年06月17日","1711","永光","14.85","14.55","0.300000","息","16.00","13.10","14.55","14.55","除權息資料","110年第1季","15.25","0.22",
"109年06月17日","2404","漢唐","224.00","211.00","13.000000","息","232.00","190.00","211.00","211.00","除權息資料","110年第1季","39.61","3.92",
"109年06月17日","6112","聚碩","45.95","42.95","3.000000","息","47.20","38.70","42.95","42.95","除權息資料","110年第1季","21.13","1.18",
"109年06月17日","6505","台塑化","90.80","87.90","2.900000","息","96.60","79.20","87.90","87.90","除權息資料","110年第1季","34.84","1.88",
"109年06月18日","2020","美亞","18.90","17.05","1.850000","息","18.75","15.35","17.05","17.05","除權息資料","110年第1季","15.76","1.47",
"109年06月18日","2330","台積電","315.00","312.50","2.500000","息","343.50","281.50","312.50","312.50","除權息資料","110年第1季","74.77","5.39",
"109年06月18日","2480","敦陽科","72.70","68.25","4.450000","息","75.00","61.50","68.30","68.25","除權息資料","110年第1季","23.68","1.35",
"109年06月18日","2851","中再保","19.70","18.80","0.900000","息","20.65","16.95","18.80","18.80","除權息資料","110年第1季","24.01","1.32",
"109年06月18日","9924","福興","42.35","39.75","2.600000","息","43.70","35.80","39.75","39.75","除權息資料","110年第1季","31.92","0.88",
"109年06月19日","1315","達新","59.50","55.85","3.650000","息","61.40","50.30","55.90","55.85","除權息資料","110年第1季","89.83","0.24",
"109年06月19日","2430","燦坤","19.20","18.20","1.000000","息","20.00","16.40","18.20","18.20","除權息資料","110年第1季","29.75","1.00",
"109年06月22日","2327","國巨","404.50","391.43","13.061654","息","430.50","352.50","391.50","391.43","除權息資料","110年第1季","148.77","10.17",
"109年06月22日","2359","所羅門","21.50","20.70","0.800000","息","22.75","18.65","20.70","20.70","除權息資料","110年第1季","25.84","0.00",
"109年06月22日","2375","凱美","36.20","35.70","0.500000","息","39.25","32.15","35.70","35.70","除權息資料","110年第1季","59.21","1.80",
"109年06月22日","2723","美食-KY","104.00","101.00","3.000000","息","111.00","90.90","101.00","101.00","除權息資料","110年第1季","60.64","1.40",
"109年06月22日","4155","訊映","31.75","29.60","2.149169","權息","33.30","26.65","30.30","30.31","除權息資料","110年第1季","17.42","0.32",
"109年06月22日","6573","虹揚-KY","19.25","18.80","0.444103","權","21.15","16.95","19.25","19.25","除權息資料","110年第1季","15.38","-0.54",
"109年06月23日","1319","東陽","39.80","38.00","1.800000","息","41.80","34.20","38.00","38.00","除權息資料","110年第1季","36.99","0.42",
"109年06月23日","1410","南染","34.05","33.05","1.000000","息","36.35","29.75","33.05","33.05","除權息資料","110年第1季","17.59","0.26",
"109年06月23日","1605","華新","14.70","14.19","0.506086","息","15.60","12.80","14.20","14.19","除權息資料","110年第1季","27.44","0.55",
"109年06月23日","1731","美吾華","15.25","14.65","0.600000","息","16.10","13.20","14.65","14.65","除權息資料","110年第1季","14.77","0.35",
"109年06月23日","2301","光寶科","53.10","49.90","3.200000","息","54.80","44.95","49.90","49.90","除權息資料","110年第1季","30.38","1.83",
"109年06月23日","2426","鼎元","13.85","13.54","0.302674","息","14.85","12.20","13.55","13.54","除權息資料","110年第1季","12.56","0.25",
"109年06月23日","2722","夏都","35.95","35.75","0.200000","息","39.30","32.20","35.75","35.75","除權息資料","110年第1季","16.53","0.07",
"109年06月23日","3583","辛耘","49.30","47.30","2.000000","息","52.00","42.60","47.30","47.30","除權息資料","110年第1季","33.78","0.25",
"109年06月23日","5871","中租-KY","128.00","118.65","9.346153","權息","130.50","107.00","118.50","118.65","除權息資料","110年第1季","65.41","3.60",
"109年06月23日","9911","櫻花","49.35","46.70","2.650000","息","51.30","42.05","46.70","46.70","除權息資料","110年第1季","24.20","1.34",
"109年06月24日","1707","葡萄王","198.00","191.50","6.500000","息","210.50","172.50","191.50","191.50","除權息資料","110年第1季","59.84","1.60",
"109年06月24日","2357","華碩","246.50","232.50","14.000000","息","255.50","209.50","232.50","232.50","除權息資料","110年第1季","291.87","13.18",
"109年06月24日","4977","眾達-KY","123.00","119.50","3.500000","息","131.00","108.00","119.50","119.50","除權息資料","110年第1季","32.94","0.71",
"109年06月24日","8028","昇陽半導體","59.10","57.10","2.000000","息","62.80","51.40","57.10","57.10","除權息資料","110年第1季","17.60","0.17",
"109年06月24日","8271","宇瞻","46.60","44.05","2.550000","息","48.45","39.65","44.05","44.05","除權息資料","110年第1季","28.80","1.23",
"109年06月29日","1215","卜蜂","72.20","68.20","4.000000","息","75.00","61.40","68.20","68.20","除權息資料","110年第1季","32.94","1.45",
"109年06月29日","1341","富林-KY","68.00","63.00","5.000000","息","69.30","56.70","63.00","63.00","除權息資料","110年第1季","27.21","2.18",
"109年06月29日","1536","和大","106.00","104.00","2.000000","息","114.00","93.60","104.00","104.00","除權息資料","110年第1季","31.05","0.20",
"109年06月29日","2015","豐興","54.80","51.80","3.000000","息","56.90","46.65","51.80","51.80","除權息資料","110年第1季","35.01","1.16",
"109年06月29日","2616","山隆","31.20","29.40","1.800000","息","32.30","26.50","29.40","29.40","除權息資料","110年第1季","38.41","0.64",
"109年06月29日","2838A","聯邦銀甲特","55.50","53.10","2.400000","息","58.40","47.80","53.10","53.10","除權息資料","110年第1季","18.47","0.31",
"109年06月29日","2885","元大金","18.40","17.75","0.650000","息","19.50","16.00","17.75","17.75","除權息資料","109年第4季","20.87","1.99",
"109年06月29日","3003","健和興","42.15","41.15","1.000000","息","45.25","37.05","41.15","41.15","除權息資料","110年第1季","31.14","1.20",
"109年06月29日","4144","康聯-KY","26.60","26.27","0.328000","息","28.85","23.65","26.25","26.27","除權息資料","109年第2季","28.57","-0.93",
"109年06月29日","4557","永新-KY","70.60","65.60","5.000000","息","72.10","59.10","65.60","65.60","除權息資料","110年第1季","37.47","1.01",
"109年06月29日","5533","皇鼎","16.85","16.35","0.500000","息","17.95","14.75","16.35","16.35","除權息資料","110年第1季","26.47","0.39",
"109年06月29日","6282","康舒","20.95","19.85","1.100000","息","21.80","17.90","19.85","19.85","除權息資料","110年第1季","19.41","0.16",
"109年06月29日","6288","聯嘉","22.60","21.81","0.781987","息","23.95","19.65","21.80","21.81","除權息資料","110年第1季","14.42","0.20",
"109年06月30日","1437","勤益控","22.50","21.40","1.100000","息","23.50","19.30","21.40","21.40","除權息資料","110年第1季","31.50","0.67",
"109年06月30日","1760","寶齡富錦","142.00","140.20","1.800000","息","154.00","126.50","140.00","140.20","除權息資料","110年第1季","15.18","-0.32",
"109年06月30日","2450","神腦","30.70","29.25","1.450000","息","32.15","26.35","29.25","29.25","除權息資料","110年第1季","23.49","0.60",
"109年06月30日","3031","佰鴻","15.05","14.22","0.823300","息","15.60","12.80","14.20","14.22","除權息資料","110年第1季","15.76","0.28",
"109年06月30日","3528","安馳","39.40","36.90","2.500000","息","40.55","33.25","36.90","36.90","除權息資料","110年第1季","21.71","1.20",
"109年06月30日","3669","圓展","32.40","31.90","0.500000","息","35.05","28.75","31.90","31.90","除權息資料","110年第1季","36.58","2.19",
"109年06月30日","4938","和碩","69.80","65.29","4.500484","息","71.80","58.80","65.30","65.29","除權息資料","110年第1季","57.49","1.75",
"109年06月30日","6525","捷敏-KY","64.70","61.20","3.500000","息","67.30","55.10","61.20","61.20","除權息資料","110年第1季","26.93","1.53",
"109年07月01日","1326","台化","75.70","71.90","3.800000","息","79.00","64.80","71.90","71.90","除權息資料","110年第1季","62.86","2.20",
"109年07月01日","1558","伸興","139.00","130.20","8.800000","息","143.00","117.50","130.00","130.20","除權息資料","110年第1季","87.74","5.42",
"109年07月01日","1604","聲寶","21.55","20.05","1.500000","息","22.05","18.05","20.05","20.05","除權息資料","110年第1季","21.45","0.50",
"109年07月01日","1702","南僑","46.00","44.00","2.000000","息","48.40","39.60","44.00","44.00","除權息資料","110年第1季","25.11","1.13",
"109年07月01日","1733","五鼎","27.50","26.39","1.106342","息","29.00","23.80","26.40","26.39","除權息資料","110年第1季","16.90","0.34",
"109年07月01日","1817","凱撒衛","34.00","32.28","1.712359","息","35.50","29.10","32.30","32.28","除權息資料","110年第1季","24.60","0.74",
"109年07月01日","2423","固緯","24.65","23.15","1.500000","息","25.45","20.85","23.15","23.15","除權息資料","110年第1季","15.22","0.46",
"109年07月01日","2436","偉詮電","28.10","26.60","1.500000","息","29.25","23.95","26.60","26.60","除權息資料","110年第1季","19.64","1.05",
"109年07月01日","2455","全新","91.50","88.99","2.500027","息","97.80","80.10","89.00","88.99","除權息資料","110年第1季","16.91","1.22",
"109年07月01日","2606","裕民","31.30","29.40","1.900000","息","32.30","26.50","29.40","29.40","除權息資料","110年第1季","28.02","0.41",
"109年07月01日","2731","雄獅","78.50","76.50","2.000000","息","84.10","68.90","76.50","76.50","除權息資料","110年第1季","22.16","-1.63",
"109年07月01日","2881","富邦金","43.90","41.90","2.000000","息","46.05","37.75","41.90","41.90","除權息資料","109年第4季","66.33","8.54",
"109年07月01日","2881A","富邦特","65.50","63.04","2.460000","息","69.30","56.80","63.00","63.04","除權息資料","109年第4季","66.33","8.54",
"109年07月01日","2881B","富邦金乙特","64.80","62.64","2.160000","息","68.90","56.40","62.60","62.64","除權息資料","109年第4季","66.33","8.54",
"109年07月01日","2882","國泰金","41.85","39.85","2.000000","息","43.80","35.90","39.85","39.85","除權息資料","110年第1季","58.07","4.36",
"109年07月01日","2882A","國泰特","64.60","62.32","2.280000","息","68.50","56.10","62.30","62.32","除權息資料","110年第1季","58.07","4.36",
"109年07月01日","2882B","國泰金乙特","64.10","61.97","2.130000","息","68.10","55.80","62.00","61.97","除權息資料","110年第1季","58.07","4.36",
"109年07月01日","3040","遠見","38.80","37.30","1.500000","息","41.00","33.60","37.30","37.30","除權息資料","110年第1季","29.39","0.64",
"109年07月01日","3679","新至陞","65.00","61.00","4.000000","息","67.10","54.90","61.00","61.00","除權息資料","110年第1季","74.37","3.49",
"109年07月01日","4739","康普","58.60","57.37","1.226700","息","63.10","51.70","57.40","57.37","除權息資料","110年第1季","39.44","1.00",
"109年07月01日","6281","全國電","72.10","68.10","4.000000","息","74.90","61.30","68.10","68.10","除權息資料","110年第1季","27.75","1.38",
"109年07月01日","6666","羅麗芬-KY","133.00","126.00","7.000000","息","138.50","113.50","126.00","126.00","除權息資料","110年第1季","34.65","0.31",
"109年07月01日","8150","南茂","33.80","32.00","1.800000","息","35.20","28.80","32.00","32.00","除權息資料","110年第1季","29.92","1.32",
"109年07月01日","8341","日友","257.50","249.50","8.000000","息","274.00","225.00","249.50","249.50","除權息資料","110年第1季","30.25","1.95",
"109年07月01日","9931","欣高","41.80","41.30","0.500000","息","45.40","37.20","41.30","41.30","除權息資料","110年第1季","20.93","0.67",
"109年07月02日","1301","台塑","87.60","83.20","4.400000","息","91.50","74.90","83.20","83.20","除權息資料","110年第1季","56.42","2.35",
"109年07月02日","1909","榮成","14.35","14.05","0.300000","息","15.45","12.65","14.05","14.05","除權息資料","110年第1季","20.52","0.40",
"109年07月02日","2024","志聯","14.45","14.10","0.350000","息","15.50","12.70","14.10","14.10","除權息資料","110年第1季","11.94","0.28",
"109年07月02日","2308","台達電","169.50","164.50","5.000000","息","180.50","148.50","164.50","164.50","除權息資料","110年第1季","59.21","2.53",
"109年07月02日","2344","華邦電","13.55","13.45","0.100000","息","14.75","12.15","13.45","13.45","除權息資料","110年第1季","17.12","0.40",
"109年07月02日","2353","宏碁","17.90","17.12","0.776841","息","18.80","15.45","17.10","17.12","除權息資料","110年第1季","19.51","0.91",
"109年07月02日","2408","南亞科","61.00","59.50","1.497289","息","65.40","53.60","59.50","59.50","除權息資料","110年第1季","51.00","0.88",
"109年07月02日","2412","中華電","116.50","112.27","4.226000","息","123.00","101.50","112.50","112.27","除權息資料","110年第1季","49.73","1.14",
"109年07月02日","2415","錩新","17.70","17.20","0.500000","息","18.90","15.50","17.20","17.20","除權息資料","110年第1季","18.26","0.76",
"109年07月02日","2451","創見","73.50","69.00","4.500000","息","75.90","62.10","69.00","69.00","除權息資料","110年第1季","41.68","1.30",
"109年07月02日","2464","盟立","39.00","36.50","2.500000","息","40.15","32.85","36.50","36.50","除權息資料","110年第1季","21.62","0.72",
"109年07月02日","2887E","台新戊特","56.50","54.12","2.375000","息","59.50","48.75","54.10","54.12","除權息資料","109年第4季","15.88","1.17",
"109年07月02日","2887F","台新戊特二","54.00","52.10","1.900000","息","57.30","46.90","52.10","52.10","除權息資料","109年第4季","15.88","1.17",
"109年07月02日","3010","華立","56.90","53.60","3.300000","息","58.90","48.25","53.60","53.60","除權息資料","110年第1季","60.02","2.58",
"109年07月02日","3035","智原","47.75","46.65","1.100000","息","51.30","42.00","46.65","46.65","除權息資料","110年第1季","26.56","0.68",
"109年07月02日","3305","昇貿","21.05","20.04","1.005005","息","22.00","18.05","20.05","20.04","除權息資料","110年第1季","31.92","1.04",
"109年07月02日","4148","全宇生技-KY","41.90","40.90","1.000000","息","44.95","36.85","40.90","40.90","除權息資料","110年第1季","29.46","0.42",
"109年07月02日","4545","銘鈺","30.80","30.45","0.350000","息","33.45","27.45","30.45","30.45","除權息資料","110年第1季","21.97","0.02",
"109年07月02日","4916","事欣科","28.25","26.25","2.000000","息","28.85","23.65","26.25","26.25","除權息資料","110年第1季","15.09","0.40",
"109年07月02日","5007","三星","45.10","43.10","2.000000","息","47.40","38.80","43.10","43.10","除權息資料","110年第1季","22.08","0.80",
"109年07月02日","6184","大豐電","44.70","41.70","3.000000","息","45.85","37.55","41.70","41.70","除權息資料","110年第1季","29.48","0.74",
"109年07月02日","6698","旭暉應材","50.20","48.60","1.600000","息","53.40","43.75","48.60","48.60","除權息資料","110年第1季","18.53","0.27",
"109年07月02日","8422","可寧衛","169.00","159.00","10.000000","息","174.50","143.50","159.00","159.00","除權息資料","110年第1季","55.91","3.42",
"109年07月02日","9934","成霖","13.45","12.85","0.600000","息","14.10","11.60","12.85","12.85","除權息資料","110年第1季","15.46","0.15",
"109年07月03日","1612","宏泰","10.85","10.35","0.500000","息","11.35","9.32","10.35","10.35","除權息資料","110年第1季","17.54","0.56",
"109年07月03日","1724","台硝","13.00","12.50","0.500000","息","13.75","11.25","12.50","12.50","除權息資料","110年第1季","14.97","-0.27",
"109年07月03日","2012","春雨","18.05","16.85","1.200000","息","18.50","15.20","16.85","16.85","除權息資料","110年第1季","13.13","0.47",
"109年07月03日","2107","厚生","18.45","17.63","0.817933","息","19.35","15.90","17.65","17.63","除權息資料","110年第1季","33.98","0.63",
