"109年01月01日 至 109年12月31日 除權除息計算結果表"
"資料日期","股票代號","股票名稱","除權息前收盤價","除權息參考價","權值+息值","權/息","漲停價格","跌停價格","開盤競價基準","減除股利參考價","詳細資料","最近一次申報資料 季別/日期","最近一次申報每股 (單位)淨值","最近一次申報每股 (單位)盈餘",
"109年01月16日",="00714","群益道瓊美國地產","22.13","21.92","0.210000","息","9,999.95","0.01","21.92","21.92","除權息資料","","","",
"109年01月30日",="00701","國泰股利精選30","25.12","23.46","1.660000","息","25.80","21.12","23.46","23.46","除權息資料","110年05月18日","23.74","N/A",
"109年01月30日",="00702","國泰標普低波高息","21.78","21.55","0.230000","息","9,999.95","0.01","21.55","21.55","除權息資料","","","",
"109年01月30日",="00717","富邦美國特別股","19.85","19.65","0.200000","息","9,999.95","0.01","19.65","19.65","除權息資料","","","",
"109年01月30日",="00728","第一金工業30","21.85","21.11","0.737000","息","23.22","19.00","21.11","21.11","除權息資料","110年05月18日","27.28","N/A",
"109年01月30日",="00735","國泰臺韓科技","22.47","22.09","0.380000","息","9,999.95","0.01","22.09","22.09","除權息資料","","","",
"109年01月30日",="00736","國泰新興市場","21.12","20.87","0.250000","息","9,999.95","0.01","20.87","20.87","除權息資料","","","",
"109年01月30日",="00770","國泰北美科技","26.53","25.77","0.760000","息","9,999.95","0.01","25.77","25.77","除權息資料","","","",
"109年01月31日",="0050","元大台灣50","92.15","89.25","2.900000","息","98.15","80.35","89.25","89.25","除權息資料","110年05月18日","132.17","N/A",
"109年01月31日",="006203","元大MSCI台灣","43.50","42.10","1.400000","息","46.31","37.89","42.10","42.10","除權息資料","110年05月18日","62.42","N/A",
"109年02月13日","6213","聯茂","140.00","137.29","2.703050","權","154.00","124.00","140.00","140.00","除權息資料","110年第1季","41.96","1.93",
"109年02月19日","5215","科嘉-KY","61.80","60.80","0.994313","權","67.90","54.80","61.80","61.80","除權息資料","110年第1季","46.18","3.12",
"109年02月20日","2542","興富發","46.20","45.20","1.000000","息","49.70","40.70","45.20","45.20","除權息資料","110年第1季","25.72","2.26",
"109年02月21日",="00771","元大US高息特別股","20.96","20.78","0.180000","息","9,999.95","0.01","20.78","20.78","除權息資料","","","",
"109年02月24日",="00775B","新光投等債15+","47.80","47.35","0.450000","息","9,999.95","0.01","47.35","47.35","除權息資料","","","",
"109年03月04日","6024","群益期","44.75","43.07","1.672230","權","49.20","38.80","44.75","44.75","除權息資料","110年第1季","31.08","0.76",
"109年03月05日","1449","佳和","12.55","12.04","0.510000","權","13.80","10.85","12.55","12.55","除權息資料","110年第1季","11.76","-0.84",
"109年03月05日","4746","台耀","41.90","41.47","0.420727","權","46.05","37.35","41.90","41.90","除權息資料","110年第1季","59.63","9.84",
"109年03月10日","1506","正道","11.90","11.43","0.465796","權","13.05","10.30","11.90","11.90","除權息資料","110年第1季","5.16","-0.05",
"109年03月11日",="01010T","京城樂富R1","10.30","10.09","0.207351","息","11.09","9.09","10.09","10.09","除權息資料","110年05月18日","10.46","N/A",
"109年03月12日","2101","南港","41.55","40.80","0.750000","息","44.85","36.75","40.80","40.80","除權息資料","110年第1季","13.06","0.26",
"109年03月16日","2406","國碩","10.15","10.10","0.041972","權","11.15","9.09","10.15","10.15","除權息資料","110年第1季","10.01","0.90",
"109年03月16日","2483","百容","18.35","17.35","1.000000","息","19.05","15.65","17.35","17.35","除權息資料","110年第1季","21.37","0.08",
"109年03月16日","5225","東科-KY","23.10","22.59","0.510000","息","24.80","20.35","22.60","22.59","除權息資料","110年第1季","17.21","-2.38",
"109年03月19日",="00710B","FH彭博高收益債","17.17","16.90","0.261000","息","9,999.95","0.01","16.90","16.90","除權息資料","","","",
"109年03月19日",="00711B","FH彭博新興債","19.42","19.17","0.250000","息","9,999.95","0.01","19.17","19.17","除權息資料","","","",
"109年03月19日",="00712","FH富時不動產","11.65","11.37","0.278000","息","9,999.95","0.01","11.37","11.37","除權息資料","","","",
"109年03月19日",="01009T","王道圓滿R1","9.47","9.31","0.150963","息","10.24","8.38","9.31","9.31","除權息資料","110年05月18日","10.56","N/A",
"109年03月19日","2330","台積電","260.00","257.50","2.500000","息","283.00","232.00","257.50","257.50","除權息資料","110年第1季","74.77","5.39",
"109年03月20日","5283","禾聯碩","82.10","78.10","4.000000","息","85.90","70.30","78.10","78.10","除權息資料","110年第1季","50.88","2.17",
"109年03月20日","9105","泰金寶-DR","2.21","2.18","0.029166","息","2.39","1.97","2.18","2.18","除權息資料","93年第4季","0.00","4.81",
"109年03月26日",="01004T","土銀富邦R2","14.34","14.14","0.193512","息","15.55","12.73","14.14","14.14","除權息資料","110年05月18日","15.50","N/A",
"109年03月26日","2613","中櫃","10.55","10.38","0.170000","息","11.40","9.35","10.40","10.38","除權息資料","110年第1季","22.35","0.03",
"109年03月26日","2939","凱羿-KY","92.30","87.80","4.500000","息","96.50","79.10","87.80","87.80","除權息資料","110年第1季","23.16","0.14",
"109年03月27日","3005","神基","45.55","42.75","2.795972","息","47.00","38.50","42.75","42.75","除權息資料","110年第1季","24.83","0.85",
"109年03月27日","3563","牧德","237.00","237.61","-0.616165","權","261.00","213.50","237.00","237.00","除權息資料","110年第1季","52.11","4.81",
"109年03月30日","3004","豐達科","53.60","50.93","2.670000","息","56.00","45.85","50.90","50.93","除權息資料","110年第1季","34.72","-0.47",
"109年03月31日","1313","聯成","8.13","7.93","0.200000","息","8.72","7.14","7.93","7.93","除權息資料","110年第1季","19.71","0.99",
"109年04月08日","1712","興農","19.15","17.85","1.300000","息","19.60","16.10","17.85","17.85","除權息資料","110年第1季","16.06","0.60",
"109年04月09日","1457","宜進","11.80","11.30","0.500000","息","12.40","10.20","11.30","11.30","除權息資料","110年第1季","21.08","0.31",
"109年04月09日","1524","耿鼎","8.83","8.43","0.400000","息","9.27","7.59","8.43","8.43","除權息資料","110年第1季","13.37","0.13",
"109年04月09日","2385","群光","82.80","76.90","5.900000","息","84.50","69.30","76.90","76.90","除權息資料","110年第1季","36.94","2.23",
