,資料日期,股票代號,股票名稱,除權息前收盤價,除權息參考價,權值+息值,權/息,漲停價格,跌停價格,開盤競價基準,減除股利參考價,詳細資料,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘,Unnamed: 15
0,105年01月06日,1476,儒鴻,425.00,421.87,3.122823,權,467.50,380.00,425.00,425.00,除權息資料,110年第1季,74.75,4.95,
1,105年01月29日,4722,國精化,31.60,31.48,0.11759000000000001,權,34.75,28.35,31.60,31.60,除權息資料,110年第1季,26.91,0.94,
2,105年02月01日,1730,花仙子,35.25,34.92,0.322475,權,38.75,31.45,35.25,35.25,除權息資料,110年第1季,28.72,1.39,
3,105年03月01日,1464,得力,39.25,38.00,1.240102,權,43.15,34.20,39.25,39.25,除權息資料,110年第1季,12.40,0.25,
4,105年03月03日,3576,聯合再生,23.80,23.35,0.44000900000000004,權,26.15,21.05,23.80,23.80,除權息資料,110年第1季,5.13,-0.2,
5,105年03月17日,9105,泰金寶-DR,3.31,3.25,0.055889999999999995,息,3.57,2.93,3.25,3.25,除權息資料,93年第4季,0.00,4.81,
6,105年03月30日,2438,翔耀,15.50,14.76,0.735172,權,17.05,13.30,15.50,15.50,除權息資料,110年第1季,9.75,-0.04,
7,105年04月07日,"=""01004T""",土銀富邦R2,13.40,13.19,0.20264100000000002,息,14.50,11.88,13.19,13.19,除權息資料,110年05月18日,15.50,,
8,105年04月07日,910861,神州-DR,20.75,14.05,6.6912,息,15.45,12.65,14.05,14.05,除權息資料,99年第4季,0.00,3.45,
9,105年04月14日,3312,弘憶股,5.88,5.89,-0.018675999999999998,權,6.47,5.30,5.88,5.88,除權息資料,110年第1季,12.40,0.52,
10,105年04月27日,"=""01003T""",兆豐新光R1,14.25,13.87,0.371233,息,15.25,12.49,13.87,13.87,除權息資料,110年05月18日,17.51,,
11,105年05月04日,"=""0052""",富邦科技,37.81,35.37,2.439,息,38.90,31.84,35.37,35.37,除權息資料,110年05月18日,119.44,,
12,105年05月04日,1473,台南,40.85,39.65,1.1962190000000001,息,43.60,35.70,39.65,39.65,除權息資料,110年第1季,22.77,0.31,
13,105年05月05日,"=""01001T""",土銀富邦R1,16.99,16.53,0.45014499999999996,息,18.18,14.88,16.53,16.53,除權息資料,110年05月18日,18.93,,
14,105年05月06日,8454,富邦媒,219.50,212.50,7.0,息,233.50,191.50,212.50,212.50,除權息資料,110年第1季,54.83,5.57,
15,105年05月11日,2430,燦坤,25.60,24.38,1.2145,息,26.80,21.95,24.40,24.38,除權息資料,110年第1季,29.75,1.0,
16,105年05月18日,9136,巨騰-DR,12.65,12.02,0.6204,息,13.20,10.85,12.00,12.02,除權息資料,97年第4季,0.00,2.82,
17,105年05月24日,"=""01002T""",土銀國泰R1,17.45,16.98,0.465617,息,18.67,15.29,16.98,16.98,除權息資料,110年05月18日,19.03,,
18,105年05月24日,"=""01007T""",兆豐國泰R2,16.46,16.24,0.219462,息,17.86,14.62,16.24,16.24,除權息資料,110年05月18日,20.13,,
19,105年05月27日,5225,東科-KY,43.70,40.68,3.014826,息,44.70,36.65,40.70,40.68,除權息資料,110年第1季,17.21,-2.38,
20,105年06月02日,1773,勝一,46.15,43.15,3.0,息,47.45,38.85,43.15,43.15,除權息資料,110年第1季,34.07,2.1,
21,105年06月03日,2883,開發金,8.20,7.70,0.5,息,8.47,6.93,7.70,7.70,除權息資料,109年第4季,13.66,0.87,
22,105年06月06日,6443,元晶,14.20,13.81,0.386549,權,15.60,12.45,14.20,14.20,除權息資料,110年第1季,10.67,0.0,
23,105年06月07日,910322,康師傅-DR,14.55,14.17,0.37590300000000004,息,15.55,12.80,14.15,14.17,除權息資料,97年第4季,0.00,1.53,
24,105年06月07日,912398,友佳-DR,7.29,7.13,0.150336,息,7.84,6.42,7.13,7.13,除權息資料,98年第4季,0.00,1.17,
25,105年06月08日,8467,波力-KY,56.40,54.33,2.0660939999999997,息,59.70,48.90,54.30,54.33,除權息資料,110年第1季,27.62,0.31,
26,105年06月13日,3443,創意,75.70,72.70,3.0,息,79.90,65.50,72.70,72.70,除權息資料,110年第1季,35.73,2.3,
27,105年06月14日,2851,中再保,14.55,13.85,0.7,息,15.20,12.50,13.85,13.85,除權息資料,110年第1季,24.01,1.32,
28,105年06月15日,1776,展宇,26.40,24.81,1.588223,息,27.25,22.35,24.80,24.81,除權息資料,110年第1季,14.28,0.3,
29,105年06月15日,3413,京鼎,78.60,73.23,5.362667,權息,82.00,66.00,74.60,74.60,除權息資料,110年第1季,70.83,3.45,
30,105年06月15日,8070,長華*,90.00,83.00,7.0,息,91.30,74.70,83.00,83.00,除權息資料,110年第1季,11.25,0.36,
31,105年06月15日,8427,基勝-KY,64.60,61.00,3.6,息,67.10,54.90,61.00,61.00,除權息資料,110年第1季,37.14,1.32,
32,105年06月16日,9940,信義,28.20,27.50,0.7,息,30.25,24.75,27.50,27.50,除權息資料,110年第1季,16.03,0.62,
33,105年06月20日,4557,永新-KY,78.00,72.41,5.583646,息,79.60,65.20,72.40,72.41,除權息資料,110年第1季,37.47,1.01,
34,105年06月20日,6414,樺漢,456.50,444.12,12.376301,權息,492.00,400.00,447.50,447.67,除權息資料,110年第1季,97.85,0.0,
35,105年06月21日,2327,國巨,54.40,52.40,2.0,息,57.60,47.20,52.40,52.40,除權息資料,110年第1季,148.77,10.17,
36,105年06月21日,3030,德律,47.30,43.30,4.0,息,47.60,39.00,43.30,43.30,除權息資料,110年第1季,25.36,1.25,
37,105年06月21日,5007,三星,61.30,59.30,2.0,息,65.20,53.40,59.30,59.30,除權息資料,110年第1季,22.08,0.8,
38,105年06月21日,6456,GIS-KY,83.20,80.20,3.0,息,88.20,72.20,80.20,80.20,除權息資料,110年第1季,81.98,0.67,
39,105年06月21日,6525,捷敏-KY,62.50,59.20,3.3,息,65.10,53.30,59.20,59.20,除權息資料,110年第1季,26.93,1.53,
