,Unnamed: 0,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16,日期,年
0,0,2801,彰銀,"1,515,039",590,"23,855,440",15.70,15.80,15.70,15.70, ,0.0,15.7,722,15.75,106,12.08,,20151231,2015
1,1,2809,京城銀,"522,524",200,"12,135,507",23.20,23.40,23.05,23.40,+,0.4,23.4,34,23.45,38,6.84,,20151231,2015
2,2,2812,台中銀,"732,859",221,"6,865,223",9.36,9.38,9.35,9.36, ,0.0,9.36,138,9.37,12,8.21,,20151231,2015
3,3,2816,旺旺保,"121,831",52,"1,819,515",14.90,15.10,14.80,15.10,+,0.2,15.1,4,15.15,5,13.6,,20151231,2015
4,4,2820,華票,"363,774",132,"4,164,766",11.45,11.50,11.40,11.45,+,0.05,11.4,594,11.45,41,10.32,,20151231,2015
5,5,2823,中壽,"19,143,555","5,521","481,542,796",25.50,25.60,24.90,25.25,-,0.4,25.25,88,25.3,241,7.34,,20151231,2015
6,6,2832,台產,"7,040",16,"150,249",21.30,21.40,21.30,21.40,+,0.15,21.3,5,21.4,9,6.97,,20151231,2015
7,7,2834,臺企銀,"2,994,143",702,"24,424,145",8.13,8.18,8.13,8.18,+,0.04,8.17,31,8.18,82,8.99,,20151231,2015
8,8,2836,高雄銀,"162,398",70,"1,433,079",8.75,8.89,8.75,8.79,+,0.01,8.78,11,8.79,3,10.85,,20151231,2015
9,9,2838,聯邦銀,"107,990",60,"1,009,689",9.36,9.37,9.33,9.33,-,0.03,9.33,15,9.37,20,8.11,,20151231,2015
10,10,2845,遠東銀,"789,508",265,"7,745,789",9.83,9.84,9.79,9.79,-,0.07,9.79,124,9.8,36,7.77,,20151231,2015
11,11,2847,大眾銀,"942,440",284,"12,610,993",13.35,13.40,13.35,13.40, ,0.0,13.4,17,13.45,493,21.27,,20151231,2015
12,12,2849,安泰銀,"1,173,589",281,"21,489,852",17.65,18.80,17.30,18.80,+,1.0,17.5,3,18.8,84,10.44,,20151231,2015
13,13,2850,新產,"90,468",41,"2,078,464",23.00,23.00,22.90,23.00, ,0.0,22.95,20,23.0,51,6.17,,20151231,2015
14,14,2851,中再保,"50,150",30,"743,342",14.80,14.85,14.80,14.85,+,0.15,14.8,27,14.85,23,11.69,,20151231,2015
15,15,2852,第一保,"135,389",57,"1,562,318",11.50,11.60,11.45,11.60, ,0.0,11.5,1,11.6,48,17.58,,20151231,2015
16,16,2855,統一證,"392,950",123,"5,234,972",13.20,13.50,13.20,13.35,-,0.1,13.35,86,13.45,3,16.48,,20151231,2015
17,17,2856,元富證,"602,915",166,"5,651,651",9.38,9.40,9.32,9.37, ,0.0,9.36,1,9.37,82,13.2,,20151231,2015
18,18,2867,三商壽,"1,726,073",657,"31,066,802",18.05,18.10,17.90,18.00,-,0.1,18.0,61,18.05,23,6.45,,20151231,2015
19,19,2880,華南金,"1,704,582",498,"26,051,749",15.30,15.35,15.25,15.25, ,0.0,15.25,355,15.3,208,10.82,,20151231,2015
20,20,2881,富邦金,"41,116,174","15,061","1,841,427,056",45.10,45.30,44.35,45.00,-,1.4,44.95,1,45.0,"1,810",7.11,,20151231,2015
21,21,2882,國泰金,"15,526,046","3,598","698,520,606",43.00,46.30,42.65,46.30,+,3.0,46.3,"1,105",46.35,48,9.79,,20151231,2015
22,22,2883,開發金,"10,392,597","1,800","85,233,962",8.14,8.23,8.14,8.23,+,0.09,8.2,5,8.23,345,13.72,,20151231,2015
23,23,2884,玉山金,"6,363,893","1,744","121,953,480",19.05,19.30,19.05,19.15,+,0.1,19.1,"1,660",19.15,198,12.2,,20151231,2015
24,24,2885,元大金,"8,578,783","1,680","103,934,021",12.05,12.20,12.05,12.15,+,0.1,12.1,763,12.15,148,10.04,,20151231,2015
25,25,2886,兆豐金,"10,248,659","2,591","217,787,677",21.25,21.30,21.20,21.25,+,0.05,21.2,"1,127",21.25,389,9.4,,20151231,2015
26,26,2887,台新金,"9,351,792","1,760","106,495,552",11.35,11.50,11.30,11.40,+,0.05,11.35,"1,277",11.4,"1,194",380.0,,20151231,2015
27,27,2888,新光金,"10,504,601","1,489","74,626,262",7.09,7.15,7.04,7.15,+,0.03,7.15,588,7.16,493,17.88,,20151231,2015
28,28,2889,國票金,"3,066,776",405,"23,102,842",7.30,7.69,7.30,7.69,+,0.34,7.36,18,7.69,294,13.98,,20151231,2015
29,29,2890,永豐金,"5,984,050","1,510","56,249,455",9.37,9.45,9.37,9.37,-,0.02,9.37,49,9.38,3,8.92,,20151231,2015
30,30,2891,中信金,"13,165,304","2,774","221,216,962",16.65,16.90,16.65,16.90,+,0.25,16.8,40,16.9,759,10.3,,20151231,2015
31,31,2891A,中信特,0,0,0,--,--,--,--, ,0.0,35.9,1,36.15,3,,,20151231,2015
32,32,2892,第一金,"7,362,302","1,483","112,674,636",15.25,15.35,15.20,15.30,+,0.05,15.25,"2,222",15.3,80,12.14,,20151231,2015
33,33,5880,合庫金,"3,304,525",811,"45,560,342",13.75,13.85,13.75,13.75, ,0.0,13.75,947,13.8,35,12.85,,20151231,2015
34,34,6005,群益證,"11,854,881","1,125","120,102,148",10.10,10.30,9.91,9.91,-,0.19,9.9,115,9.91,"3,165",17.09,,20151231,2015
