,資料日期,股票代號,股票名稱,除權息前收盤價,除權息參考價,權值+息值,權/息,漲停價格,跌停價格,開盤競價基準,減除股利參考價,詳細資料,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘,Unnamed: 15
0,106年01月10日,6422,君耀-KY,69.80,68.58,1.214931,權,76.70,61.80,69.80,69.80,除權息資料,107年第2季,36.73,2.37,
1,106年01月13日,2457,飛宏,11.65,11.39,0.25763400000000003,權,12.80,10.30,11.65,11.65,除權息資料,110年第1季,13.51,-0.51,
2,106年01月24日,3514,昱晶,21.30,20.74,0.552295,權,23.40,18.70,21.30,21.30,除權息資料,107年第2季,19.02,-1.73,
3,106年02月08日,"=""0050""",元大台灣50,73.30,71.60,1.7,息,78.75,64.45,71.60,71.60,除權息資料,110年05月18日,132.17,,
4,106年02月08日,"=""006203""",元大MSCI台灣,33.97,33.27,0.7,息,36.59,29.95,33.27,33.27,除權息資料,110年05月18日,62.42,,
5,106年02月08日,1536,和大,133.00,130.80,2.196453,權,146.00,118.00,133.00,133.00,除權息資料,110年第1季,31.05,0.2,
6,106年02月09日,2311,日月光,38.10,37.95,0.142784,權,41.90,34.20,38.10,38.10,除權息資料,109年第4季,18.89,2.81,
7,106年02月23日,2836,高雄銀,9.74,9.78,-0.046649,權,10.75,8.77,9.74,9.74,除權息資料,110年第1季,14.71,0.2,
8,106年03月13日,9105,泰金寶-DR,3.16,3.12,0.035732,息,3.43,2.81,3.12,3.12,除權息資料,93年第4季,0.00,4.81,
9,106年03月17日,4414,如興,18.85,18.64,0.205359,權,20.70,16.80,18.85,18.85,除權息資料,110年第1季,12.08,-0.32,
10,106年03月23日,2601,益航,8.36,8.04,0.313212,權,9.19,7.24,8.36,8.36,除權息資料,110年第1季,12.28,0.01,
11,106年03月31日,"=""01004T""",土銀富邦R2,13.19,12.99,0.194399,息,14.28,11.70,12.99,12.99,除權息資料,110年05月18日,15.50,,
12,106年04月06日,9928,中視,8.20,7.13,1.061539,權,9.02,6.42,8.20,8.20,除權息資料,110年第1季,2.71,-0.14,
13,106年04月14日,2884,玉山金,18.80,18.51,0.281024,權,20.65,16.70,18.80,18.80,除權息資料,110年第1季,14.91,0.41,
14,106年04月26日,"=""01003T""",兆豐新光R1,14.35,14.00,0.345665,息,15.40,12.60,14.00,14.00,除權息資料,110年05月18日,17.51,,
15,106年05月02日,"=""01001T""",土銀富邦R1,14.72,14.31,0.408107,息,15.74,12.88,14.31,14.31,除權息資料,110年05月18日,18.93,,
16,106年05月03日,"=""0052""",富邦科技,46.22,44.81,1.41,息,49.29,40.33,44.81,44.81,除權息資料,110年05月18日,119.44,,
17,106年05月10日,2430,燦坤,30.80,28.80,2.0,息,31.65,25.95,28.80,28.80,除權息資料,110年第1季,29.75,1.0,
18,106年05月16日,2101,南港,29.35,28.20,1.143446,息,31.00,25.40,28.20,28.20,除權息資料,110年第1季,13.06,0.26,
19,106年05月18日,"=""01002T""",土銀國泰R1,14.95,14.50,0.447367,息,15.95,13.05,14.50,14.50,除權息資料,110年05月18日,19.03,,
20,106年05月18日,"=""01007T""",兆豐國泰R2,14.37,14.15,0.21477600000000002,息,15.56,12.74,14.15,14.15,除權息資料,110年05月18日,20.13,,
21,106年05月22日,9136,巨騰-DR,11.60,11.21,0.3856,息,12.30,10.10,11.20,11.21,除權息資料,97年第4季,0.00,2.82,
22,106年06月01日,1256,鮮活果汁-KY,148.50,144.30,4.2,息,158.50,130.00,144.50,144.30,除權息資料,110年第1季,83.26,5.88,
23,106年06月02日,6281,全國電,66.70,62.40,4.3,息,68.60,56.20,62.40,62.40,除權息資料,110年第1季,27.75,1.38,
24,106年06月02日,8070,長華*,159.50,149.50,10.0,息,164.00,135.00,149.50,149.50,除權息資料,110年第1季,11.25,0.36,
25,106年06月05日,3443,創意,106.50,103.00,3.5,息,113.00,92.70,103.00,103.00,除權息資料,110年第1季,35.73,2.3,
26,106年06月05日,8261,富鼎,25.40,24.70,0.7,息,27.15,22.25,24.70,24.70,除權息資料,110年第1季,21.09,1.4,
27,106年06月05日,8454,富邦媒,228.50,220.50,8.0,息,242.50,198.50,220.50,220.50,除權息資料,110年第1季,54.83,5.57,
28,106年06月06日,2809,京城銀,31.35,29.85,1.5,息,32.80,26.90,29.85,29.85,除權息資料,110年第1季,42.89,2.17,
29,106年06月12日,912000,晨訊科-DR,2.63,2.55,0.07664,息,2.80,2.30,2.55,2.55,除權息資料,99年第4季,0.00,0.52,
30,106年06月13日,3030,德律,41.60,38.60,3.0,息,42.45,34.75,38.60,38.60,除權息資料,110年第1季,25.36,1.25,
31,106年06月13日,8150,南茂,33.80,32.79,1.0004899999999999,息,36.05,29.55,32.80,32.79,除權息資料,110年第1季,29.92,1.32,
32,106年06月14日,1598,岱宇,40.40,38.30,2.1,息,42.10,34.50,38.30,38.30,除權息資料,110年第1季,30.70,2.1,
33,106年06月14日,2739,寒舍,40.45,38.25,2.2,息,42.05,34.45,38.25,38.25,除權息資料,110年第1季,12.80,-0.68,
34,106年06月14日,4968,立積,119.00,117.32,1.68,息,129.00,106.00,117.50,117.32,除權息資料,110年第1季,38.64,4.06,
35,106年06月14日,6414,樺漢,391.00,380.88,10.119878,息,418.50,343.00,381.00,380.88,除權息資料,110年第1季,97.85,0.0,
36,106年06月14日,6456,GIS-KY,214.00,210.00,4.0,息,231.00,189.00,210.00,210.00,除權息資料,110年第1季,81.98,0.67,
37,106年06月15日,1464,得力,28.30,27.92,0.37545100000000003,權,31.10,25.15,28.30,28.30,除權息資料,110年第1季,12.40,0.25,
38,106年06月15日,1590,亞德客-KY,315.00,309.63,5.368899,息,340.50,279.00,309.50,309.63,除權息資料,110年第1季,116.55,7.66,
39,106年06月15日,3094,聯傑,25.60,24.50,1.1,息,26.95,22.05,24.50,24.50,除權息資料,110年第1季,12.98,0.21,
40,106年06月15日,8467,波力-KY,35.40,33.85,1.540154,息,37.20,30.50,33.85,33.85,除權息資料,110年第1季,27.62,0.31,
41,106年06月16日,2359,所羅門,20.40,19.40,1.0,息,21.30,17.50,19.40,19.40,除權息資料,110年第1季,25.84,0.0,
42,106年06月19日,910482,聖馬丁-DR,0.75,0.58,0.16884100000000002,權,0.82,0.53,0.75,0.75,除權息資料,97年第4季,0.00,0.25,
43,106年06月20日,2017,官田鋼,8.90,8.55,0.35,息,9.40,7.70,8.55,8.55,除權息資料,110年第1季,12.62,0.48,
44,106年06月20日,2408,南亞科,53.70,52.20,1.5,息,57.40,47.00,52.20,52.20,除權息資料,110年第1季,51.00,0.88,
45,106年06月20日,2851,中再保,15.05,14.55,0.5,息,16.00,13.10,14.55,14.55,除權息資料,110年第1季,24.01,1.32,
46,106年06月20日,3416,融程電,61.30,58.30,3.0,息,64.10,52.50,58.30,58.30,除權息資料,110年第1季,31.71,1.13,
